[Instruction_Cache] NUMBER SETS: 4
[Instruction_Cache] INDEX BITS: 2
[Instruction_Cache] TAG BITS: 28
[Instruction_Cache] BLOCK OFFSET BITS: 0
[Data_Cache] NUMBER SETS: 4
[Data_Cache] INDEX BITS: 2
[Data_Cache] TAG BITS: 28
[Data_Cache] BLOCK OFFSET BITS: 0
      Time        addr       rdata valid ready          rw        addr       rdata       wdata wstrb valid ready
    550 ns 0x000000018 0x0001c0c13     1     0           0 0x000000005 0x000000000 0x000000000  0x00     0     0
    560 ns 0x000000018 0x0001c0c13     1     0           0 0x000000005 0x000000000 0x000000000  0x00     0     0
    570 ns 0x000000018 0x0001c0c13     1     0           0 0x000000005 0x000000000 0x000000000  0x00     0     0
    580 ns 0x000000018 0x0001c0c13     1     1           0 0x000000005 0x000000000 0x000000000  0x00     0     0
    590 ns 0x000000018 0x0001c0c13     0     0           0 0x000000005 0x000000000 0x000000000  0x00     0     0
    600 ns 0x000000018 0x0001c0c13     0     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    610 ns 0x000000018 0x0001c0c13     0     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    620 ns 0x000000018 0x0001c0c13     0     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    630 ns 0x00000001c 0x0001c0c13     1     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    640 ns 0x00000001c 0x0001c0c13     1     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    650 ns 0x00000001c 0x0001c0c13     1     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    660 ns 0x00000001c 0x0001c0c13     1     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    670 ns 0x00000001c 0x0001c0c13     1     1           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    680 ns 0x00000001c 0x0001c0c13     0     0           0 0x000000006 0x000000000 0x000000000  0x00     0     0
    690 ns 0x00000001c 0x0001c0c13     0     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    700 ns 0x00000001c 0x0001c0c13     0     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    710 ns 0x00000001c 0x0001c0c13     0     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    720 ns 0x000000020 0x0001c0c13     1     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    730 ns 0x000000020 0x0001c0c13     1     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    740 ns 0x000000020 0x0001c0c13     1     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    750 ns 0x000000020 0x0001c0c13     1     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    760 ns 0x000000020 0x0001e8e93     1     1           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    770 ns 0x000000020 0x0001e8e93     0     0           0 0x000000007 0x000000000 0x000000000  0x00     0     0
    780 ns 0x000000020 0x0001e8e93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    790 ns 0x000000020 0x0001e8e93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    800 ns 0x000000020 0x0001e8e93     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    810 ns 0x000000024 0x0001e8e93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    820 ns 0x000000024 0x0001e8e93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    830 ns 0x000000024 0x0001e8e93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    840 ns 0x000000024 0x0001e8e93     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    850 ns 0x000000024 0x001c00def     1     1           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    860 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
    870 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
    880 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
    890 ns 0x000000024 0x001c00def     0     0           0 0x000000028 0x000000000 0x000000000  0x00     0     0
    900 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
    910 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
    920 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
    930 ns 0x000000040 0x001c00def     1     0           0 0x000000044 0x000000000 0x000000000  0x00     0     0
    940 ns 0x000000040 0x0001f0f13     1     1           0 0x000000044 0x000000000 0x000000000  0x00     0     0
    950 ns 0x000000040 0x0001f0f13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    960 ns 0x000000040 0x0001f0f13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    970 ns 0x000000040 0x0001f0f13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    980 ns 0x000000040 0x0001f0f13     0     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
    990 ns 0x000000044 0x0001f0f13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
      1 us 0x000000044 0x0001f0f13     1     0           0 0x000000001 0x000000000 0x000000000  0x00     0     0
